sma inte intee mag magl magu
1.0 174.64005533854166 4.4050484 -5.605359650792153 0.027737468679805977 0.027046471691302143
1.1632377309856878 174.64005533854166 4.4050484 -5.605359650792153 0.027737468679805977 0.027046471691302143
1.3531220187887314 175.70107421875 4.1916714 -5.611936041840817 0.026216204760458606 0.025598083676126038
1.5740025868825769 166.2635294596354 3.72227 -5.551992488781315 0.024583437401186625 0.024039116594558596
1.8309391977308918 170.55153245192307 3.622064 -5.579639065037578 0.023306539591256836 0.022816734503307012
2.129817557941238 165.65340750558036 3.4398236 -5.548000934466621 0.02278288566829101 0.022314622960589725
2.477484143513044 153.27820466694078 2.8402946 -5.463701012285562 0.020307783706936533 0.019934907339217434
2.8819030336531335 142.5104647549716 2.5451422 -5.384616891009908 0.019565767477054408 0.019219410315756136
3.3523383457874414 124.17654418945312 2.274648 -5.235098923355059 0.02007277006717212 0.019708396860920185
3.899566450850097 116.00680881076389 2.0728116 -5.161208700269078 0.01957536468913279 0.019228670662511105
4.5361228301147785 92.41180245535715 1.6249115 -4.914318602668808 0.019260743950042514 0.018925009402815385
5.276589228375091 78.68928156672297 1.4583337 -4.739788950546861 0.020310538401419054 0.019937561793689773
6.137927681358562 62.5132666015625 1.1181526 -4.489930483377894 0.019595958399114544 0.0192485409836185
7.139869069017778 48.9599951171875 0.9895453 -4.224603414562582 0.022168937117034715 0.021725326781991128
8.305365095379134 35.00928955078125 0.7638639 -3.8604582441143793 0.023951823265375705 0.02343482020128851
9.661114048556556 25.365535481770834 0.5815558 -3.510610087422391 0.025182475772933532 0.02461161108907206
11.238172384636878 17.50600857204861 0.44103423 -3.1079678419739003 0.027703742736839843 0.02701440429612678
13.072666145131016 11.651292253248762 0.33964586 -2.665935239871068 0.03212068901954024 0.031197664204211106
15.206618504595621 7.53465917088964 0.26053756 -2.192659029632703 0.03820763673890948 0.03690867140088622
17.68891240525079 4.767325124432964 0.19607694 -1.6956869279255624 0.04559992684490172 0.04376171555502212
20.57641032988851 2.7505782063802084 0.13541487 -1.0985599940711397 0.05481294606840423 0.052178217569224944
23.935256863969975 1.4832723332547593 0.09232851 -0.4280522403010508 0.06977826552756417 0.06556327193527993
27.84239388500404 0.7753193414033349 0.062107246 0.2762984545610545 0.09065479652615127 0.08366531794442349
32.387323088001885 0.3824009672124335 0.04033904 1.0437025448176978 0.12103561431027324 0.10888592486661977
37.67415622158769 0.17893202039930556 0.025743177 1.8682798355803394 0.16865232259323376 0.14594288122681154
43.82399999999999 0.07479053333493098 0.015146578 2.815383424476119 0.24570047984870946 0.20023075740657592
