sma inte intee mag magl magu
1.0 178.70346666666669 4.456000531950231 -5.6303324436536 0.027416265131806616 0.026740985139878104
1.1632377309856878 178.70346666666669 4.456000531950231 -5.6303324436536 0.027416265131806616 0.026740985139878104
1.3531220187887314 176.4368 4.200438072391973 -5.616472931157661 0.026160822401876116 0.02554527960965003
1.5740025868825769 167.45346666666669 3.7355662965011818 -5.559735357125063 0.024494941323095487 0.023954489461688322
1.8309391977308918 171.4214153846154 3.6312894021123534 -5.58516269161073 0.023246691283173027 0.022759372275509282
2.129817557941238 167.46537142857142 3.4585852953047085 -5.5598125425774425 0.022657996859761775 0.02219480181681721
2.477484143513044 154.56311578947367 2.852174754643363 -5.472764659915477 0.02022240439375933 0.01985262831887491
2.8819030336531335 142.40043636363632 2.5441594107755936 -5.3837783003242325 0.019573393043833542 0.019226768235742764
3.3523383457874414 123.78680000000001 2.2710753693643313 -5.231685840450097 0.0201046378274794 0.019739117239089277
3.899566450850097 115.29605925925925 2.0664521327651415 -5.154536159147286 0.019636158040486906 0.019287326411051575
4.5361228301147785 92.49394285714284 1.625633440118852 -4.915283232662406 0.019252112203377303 0.018916675896336055
5.276589228375091 78.44220540540539 1.4560424463426527 -4.736374488430645 0.020342801815520506 0.019968650196606763
6.137927681358562 61.036799999999985 1.1048692230304904 -4.463979391545806 0.01983371848445159 0.01947789572642522
7.139869069017778 46.816799999999986 0.9676445628431959 -4.176004314204775 0.0226759637731333 0.02221204134251309
8.305365095379134 35.236799999999995 0.7663419602240241 -3.867491153617597 0.023873517854796078 0.023359853609303816
9.661114048556556 26.023466666666668 0.589049705505024 -3.538412874483952 0.02485840785453053 0.024301979583299382
11.238172384636878 18.081244444444447 0.4482217264361275 -3.143070793882151 0.027253876261083554 0.026586475086918804
13.072666145131016 12.44274059405941 0.3509920959599102 -2.7372901176454705 0.031067353878435067 0.0302030633657685
15.206618504595621 8.622385585585583 0.27870979426580966 -2.339068600559282 0.03567504944608113 0.03454003632060054
17.68891240525079 4.730348387096773 0.19531505539431324 -1.6872328185580008 0.04578161006702469 0.043929017261024605
20.57641032988851 2.4434666666666662 0.1276314137576552 -0.9700160470932342 0.05824689531120683 0.055280563197890736
23.935256863969975 1.4678344827586203 0.09184677653941768 -0.41669271511273426 0.07015633084549507 0.06589691944048841
27.84239388500404 0.7432676616915418 0.06080994214059078 0.32213690549577423 0.09267371798597872 0.08538181993417514
32.387323088001885 0.3304170212765952 0.03749706492210751 1.2023439707513166 0.13078362736295882 0.11671001032951253
37.67415622158769 0.38865185185185136 0.03794010151745782 1.0260981465582426 0.11152606135064136 0.10112979473402339
