sma inte intee mag magl magu
1.0 3.18467934926 0.72854646047 -1.25766427939 0.282034627992 0.223672993755
1.1629053321 2.95957899094 0.608232975006 -1.17807483937 0.249783481626 0.202930054943
1.35234881144 3.07676802741 0.584690623813 -1.22023688474 0.228833066426 0.188898450313
1.57265364368 3.11561965942 0.532201246782 -1.23386108889 0.203374212455 0.171222681144
1.82884730779 2.92955780029 0.457443032946 -1.16700517769 0.184333605429 0.157533081025
2.12677628584 2.73264288902 0.413267672062 -1.09145720084 0.178029670043 0.152908727605
2.47323948299 2.66188854641 0.384555180868 -1.0629746689 0.169408146135 0.146508232145
2.87614338234 2.51863620156 0.364087631828 -1.00291360348 0.169522881517 0.146593993319
3.34468247522 2.39290882991 0.303372639876 -0.947315380652 0.14719063722 0.129597686923
3.88954908463 2.04326892721 0.265438408687 -0.775813826417 0.151087933675 0.132608380865
4.52317736999 1.75526059058 0.237952324652 -0.610854005212 0.158169445808 0.138030226202
5.26002708162 1.49245169224 0.195622065128 -0.434750706901 0.152543397504 0.133727839163
6.11691354023 1.16467584882 0.166524410248 -0.16551267466 0.16752158209 0.145095809008
7.11339137195 0.901542386142 0.128029996699 0.112534625114 0.166297189288 0.144176836552
8.27220075578 0.68868296487 0.110895940236 0.404951648768 0.190628889571 0.16210496832
9.61978636713 0.477378237075 0.0831776701886 0.802843459206 0.207863429575 0.17439079326
11.18690086 0.329799072652 0.0646117005167 1.20437642466 0.23674147607 0.194248347178
13.0093066599 0.220623892181 0.0474474867996 1.64086864497 0.262909553134 0.211494765951
15.1285920817 0.146422038569 0.0369923003366 2.08598387738 0.316177721761 0.244567089359
17.5931203991 0.085474218121 0.0255435896284 2.6704121581 0.385465761481 0.283893775945
20.4591335204 0.0490938833315 0.0183373787632 3.2724315345 0.507726022992 0.344584755346
23.7920354611 0.02666972534 0.0124885269076 3.93495364225 0.685764022773 0.417011891432
27.6678848994 0.0132167247625 0.00797132001473 4.69719038516 1.00336210232 0.512417590334
32.1751308775 0.00643244966284 0.00527694060173 5.47905900919 1.86400760226 0.650394711514
37.4166312586 0.00259790438732 0.00314891497597 6.46344209161 nan 0.862010957613
43.512 0.000732410628841 0.00151762253833 7.83811340446 nan 1.21858570442
